Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	2a5914c5-2b8b-4932-84dc-6bf33d939942
Plate Name	NADguanosineplate
Measurement	Measurement 1
Evaluation	Evaluation2
Population	Population - full nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Intensity Nucleus Alexa 488 Mean	full nuclei -  Area [µm²]	full nuclei -  Roundness	full nuclei -  Width [µm]	full nuclei -  Length [µm]	full nuclei -  Ratio Width to Length	full nuclei - Number of Spots H2AX- per Cell 	
2	2	1	0	12	10	541	769	[516,746,566,792]	1614.63	1223.55					10	615	0.0249272	21	0.0112601	5597.36	165.356	0.957101	12.8832	14.9357	0.862576	21	
2	2	1	0	12	11	573	829	[548,803,599,856]	1624.44	1205					11	702	0.0309893	19	0.00909091	4444.76	185.305	0.932511	13.9027	15.5437	0.894427	19	
2	2	1	0	12	12	1019	915	[992,887,1049,961]	1757.43	1177.28					12	885	0.0254351	38	0.0117829	3207.76	285.937	0.932512	15.7223	22.1908	0.708506	38	
2	2	1	0	12	13	59	912	[33,886,86,938]	1471.53	1180.97					13	110	0.00500037	2	0.000924214	4951.99	191.866	0.930859	13.5801	16.8913	0.803968	2	
2	2	1	0	12	14	779	956	[757,932,806,981]	1686.44	1167.73					14	703	0.027215	17	0.00918422	2132.64	164.115	0.938052	12.5202	15.0951	0.82942	17	
2	2	1	0	13	1	90	231	[68,209,111,264]	1480.22	1058.96					1	196	0.0177135	5	0.00280112	3867.47	158.263	0.832496	11.0774	16.3797	0.676291	5	
2	2	1	0	13	2	593	928	[568,903,642,955]	1632.33	853.09					2	679	0.091718	20	0.00822368	2510.32	215.628	0.710145	11.8208	22.0525	0.536031	20	
2	2	1	0	13	3	132	247	[103,221,157,273]	1492.88	1055.85					4	207	0.00971738	7	0.00349301	2821.92	177.68	0.830003	12.7448	16.7649	0.760209	7	
2	2	1	0	14	1	588	240	[553,221,613,261]	1304.98	1057.58					1	151	0.0299161	4	0.00215517	9717.14	164.558	0.870646	10.9324	18.1122	0.603593	4	
2	2	1	0	14	2	478	888	[403,869,498,909]	1265.35	864.85					2	204	0.010622	5	0.00171057	8615.18	259.161	0.727527	10.1064	28.3266	0.356781	5	
2	2	1	0	14	3	422	1005	[398,978,458,1025]	1258.5	831.38					3	579	0.0528901	21	0.0110935	6045.71	167.838	0.849195	9.91152	18.8557	0.525651	21	
2	2	1	0	14	4	311	97	[284,74,346,121]	1225.01	1100.37					4	652	0.0266336	14	0.00621394	3164.21	199.757	0.932532	13.4357	18.6548	0.720226	14	
2	2	1	0	14	5	324	177	[299,156,355,198]	1228.34	1076.55					5	483	0.0155585	18	0.00947867	4347.91	168.37	0.937269	11.9847	17.0533	0.702782	18	
2	2	1	0	14	6	116	186	[94,163,139,221]	1166.04	1072.68					6	421	0.0205444	9	0.00442696	5704.89	180.251	0.911093	12.5626	17.2805	0.726983	9	
2	2	1	0	14	7	153	345	[128,322,178,369]	1176.77	1026.55					8	440	0.0206863	12	0.00684932	4156.84	155.337	0.923268	11.4397	16.8913	0.677252	12	
2	2	1	0	14	8	321	498	[284,459,354,542]	1226.4	979.67					9	1577	0.0440529	55	0.0124069	5811.96	393.042	0.973994	18.9542	24.8288	0.763394	55	
2	2	1	0	14	9	509	508	[480,483,534,534]	1282.16	977.71					10	198	0.0126758	6	0.00283688	2779.93	187.522	0.967131	13.5801	16.6454	0.815843	6	
2	2	1	0	14	10	677	534	[653,511,702,556]	1332.74	970.62					11	124	0.0237251	1	0.00055991	6059.99	158.351	0.941046	12.3921	15.2092	0.814774	1	
2	2	1	0	14	11	342	722	[318,694,367,748]	1232.77	914.47					12	570	0.0177581	19	0.00925024	3821.71	182.113	0.958242	13.3828	16.6667	0.802963	19	
2	2	1	0	14	12	164	730	[140,706,192,755]	1180.47	912.07					13	450	0.0172298	9	0.00455235	3819.8	175.286	0.951848	13.4357	15.6488	0.858573	9	
2	2	1	0	14	13	828	771	[805,745,853,795]	1377.08	899.69					14	735	0.0368218	19	0.0104568	4041.69	161.1	0.899725	12.0585	16.0073	0.753309	19	
2	2	1	0	14	14	322	888	[300,863,344,924]	1226.58	863.81					15	713	0.033009	11	0.00512821	6045.58	190.181	0.86946	12.2192	18.5714	0.657955	11	
2	2	1	0	14	15	506	995	[478,968,536,1023]	1281.73	832.83					16	19	0.000810259	1	0.000484027	6247.71	183.177	0.906347	10.7854	19.6614	0.548559	1	
2	2	1	0	15	1	100	483	[82,451,121,516]	838.16	985.31					1	0	0	0	0	3054.22	166.597	0.827627	10.4004	19.6816	0.528432	0	
2	2	1	0	15	2	353	572	[329,543,399,589]	916.11	960.48					2	173	0.0132312	6	0.00311526	6039.33	170.764	0.778613	9.62101	21.8526	0.440268	6	
2	2	1	0	15	3	566	610	[531,588,607,665]	977.79	944.53					3	610	0.0217366	17	0.00606277	7793.34	248.61	0.627777	12.2626	23.9787	0.511397	17	
2	2	1	0	15	4	427	1025	[403,1001,449,1065]	934.74	821.89					4	425	0.0177052	11	0.00500683	3572.27	194.792	0.893814	11.2993	19.5074	0.57923	11	
2	2	1	0	15	5	385	298	[354,276,421,323]	922.98	1040.56					5	243	0.017168	6	0.00250104	4692.4	212.702	0.879351	12.5626	20.2676	0.619839	6	
2	2	1	0	15	6	131	353	[105,331,160,376]	847.67	1024.13					6	285	0.0105001	6	0.00300752	2793.87	176.882	0.875523	12.5626	16.3878	0.766585	6	
2	2	1	0	15	7	379	398	[356,377,401,447]	920.33	1007.37					7	313	0.0173697	12	0.00545951	5049.42	194.881	0.846918	11.2364	22.2347	0.505352	12	
2	2	1	0	15	8	254	612	[231,590,281,634]	884.25	947.39					8	142	0.00418026	4	0.00232288	5406.78	152.677	0.906852	11.9699	14.8673	0.805118	4	
2	2	1	0	15	9	120	681	[91,652,149,726]	843.47	924.63					9	1060	0.027654	28	0.00846177	5117.99	293.385	0.919328	16.2656	22.3719	0.727055	28	
2	2	1	0	16	1	224	437	[198,416,250,458]	551.78	999.47					1	557	0.0241747	22	0.0120548	4419.31	161.809	0.952813	11.9699	15.5437	0.770083	22	
2	2	1	0	16	2	227	1010	[201,990,254,1031]	552.94	828.4					2	581	0.0361435	17	0.00959368	3642.81	157.11	0.914742	11.4397	15.9602	0.716763	17	
2	2	1	0	16	3	455	568	[424,538,485,600]	620.09	959.65					3	348	0.0324703	8	0.00261011	4333.72	271.751	0.944439	16.7701	19.2535	0.871017	8	
2	2	1	0	16	4	589	609	[563,570,613,645]	659.97	948.38					4	365	0.036981	11	0.0043222	4141.25	225.646	0.864627	11.9254	23.3891	0.50987	11	
2	2	1	0	16	5	342	607	[319,583,367,641]	587.31	946.91					5	656	0.0411336	23	0.0110843	5453.57	183.975	0.895686	12.8832	18.2827	0.704664	23	
2	2	1	0	16	6	875	642	[844,617,913,671]	745.69	937.76					6	23	0.000528926	1	0.000407	5989.1	217.844	0.897396	13.4357	21.0929	0.636977	1	
2	2	1	0	16	7	465	695	[436,669,495,727]	623.28	921.91					7	475	0.0552595	14	0.00593472	4088.18	209.155	0.832577	12.5626	19.3752	0.648387	14	
2	2	1	0	16	8	492	727	[416,701,524,764]	625.91	910.82					8	984	0.029401	39	0.00952614	7447.22	362.985	0.738522	12.619	32.7607	0.385186	39	
2	2	1	0	16	9	120	971	[95,948,154,995]	522.06	840.19					9	482	0.0121297	15	0.00686813	2671.23	193.639	0.903225	13.0609	17.7113	0.737435	15	
2	2	1	0	16	10	474	994	[447,968,513,1024]	627.84	832.62					10	827	0.0330547	35	0.0129294	7034.51	240.01	0.912941	13.4357	21.9801	0.611266	35	
2	2	1	0	16	11	44	1006	[16,982,70,1029]	497.92	830.25					11	351	0.0115408	9	0.00465357	2771.71	171.474	0.878719	12.5626	16.6108	0.756293	9	
2	2	1	0	17	1	569	920	[546,893,590,948]	331.61	855.11					2	659	0.0274031	24	0.0126117	4473.73	168.725	0.883385	12.2192	16.4202	0.744154	24	
2	2	1	0	17	2	57	979	[34,943,78,1011]	178.57	838.27					3	225	0.0180321	10	0.00462749	4276.62	191.6	0.904042	11.3306	20.5607	0.551082	10	
2	2	1	0	17	3	869	1022	[846,995,913,1053]	423.15	823.53					4	117	0.00598417	4	0.0017014	4282.12	208.446	0.84154	10.1414	22.8114	0.444577	4	
2	2	1	0	17	4	636	24	[613,2,669,46]	353.1	1122.09					5	601	0.0209663	21	0.0111229	3270.31	167.395	0.948791	11.7456	16.949	0.692998	21	
2	2	1	0	17	5	73	454	[47,428,101,492]	184.56	993.62					6	772	0.0270306	26	0.0105777	6246.81	217.933	0.921649	13.6062	19.5074	0.697486	26	
2	2	1	0	17	6	324	507	[289,456,370,533]	260.94	982.42					7	234	0.0153763	7	0.00184843	7026.28	335.765	0.782986	13.8131	27.0686	0.5103	7	
2	2	1	0	17	7	62	564	[36,538,85,598]	180.44	960.3					8	782	0.0325121	26	0.0115916	4604.5	198.87	0.936752	13.0609	18.3939	0.710065	26	
