Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	7565033a-ea03-4f4b-8fc5-eb1516bb4f87
Plate Name	rech2ax53bp1270224
Measurement	Measurement 1
Evaluation	Evaluation5
Population	Population - Nuclei Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Nucleus Area [µm²]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Intensity Nucleus Alexa 488 Mean	Nuclei Selected - Intensity Nucleus DAPI Mean	Nuclei Selected - Intensity Ring Region DAPI Mean	Nuclei Selected - Total Spot Area	Nuclei Selected - Relative Spot Intensity	Nuclei Selected - Number of Spots	Nuclei Selected - Number of Spots per Area of Nucleus	Nuclei Selected - Total Spot Area (2)	Nuclei Selected - Relative Spot Intensity (2)	Nuclei Selected - Number of Spots (2)	Nuclei Selected - Number of Spots per Area of Nucleus (2)	
5	2	0	40	39	867	1036	[825,1001,915,1072]	-142.98	-503.5					51	174.498	0.959775	0.680543	1683.8	5291.13	1025.96	254	0.00670085	9	0.00182593	853	0.017732	33	0.00669507	
5	2	0	43	1	727	59	[699,30,761,119]	-578.88	-527.31					2	139.768	0.875489	0.516707	1729.14	7246.42	1829.58	699	0.0113509	21	0.00531915	824	0.0225055	25	0.00633232	
5	2	0	43	2	473	100	[377,46,509,164]	-632.45	-531.39					4	284.033	0.677739	0.401888	2135.21	7435.22	2388.14	425	0.00276569	11	0.00137106	195	0.00188873	9	0.00112177	
5	2	0	43	3	788	111	[760,72,817,140]	-568.36	-533.68					5	104.755	0.948679	0.670305	1756.9	6746.94	1670.63	150	0.0349656	3	0.00101386	199	0.0373765	4	0.00135181	
5	2	0	43	4	138	113	[82,84,183,146]	-691.43	-535.1					6	165.046	0.921045	0.544735	2209.87	7076.97	1495.7	1052	0.0202564	34	0.00729301	968	0.0241315	37	0.00793651	
5	2	0	43	5	692	114	[664,86,720,157]	-586.2	-536.31					7	113.854	0.964797	0.756593	2000.49	6340.92	1662.05	117	0.035191	3	0.000932836	82	0.00948769	3	0.000932836	
5	2	0	43	6	522	159	[485,102,560,197]	-617.81	-542.09					8	193.332	0.903042	0.702482	2139.96	8702.21	2999.52	437	0.00824234	12	0.0021974	754	0.0171302	26	0.00476103	
5	2	0	43	7	412	152	[358,104,453,204]	-639.68	-542.31					9	216.733	0.768901	0.565941	2966.54	9335.23	5245.85	279	0.00175255	7	0.00114342	93	0.000741916	3	0.000490036	
5	2	0	43	8	376	250	[336,209,437,300]	-643.95	-561.18					10	222.185	0.782885	0.617904	2608.87	9698.2	6419.09	0	0	0	0	0	0	0	0	
5	2	0	43	9	66	262	[39,237,99,288]	-703.58	-562.98					12	85.4966	0.984109	0.815016	1676.61	7563.09	2146.53	129	0.0233304	3	0.00124224	213	0.0143706	7	0.00289855	
